Date,Up
1/24/2017,-183.819
1/25/2017,-178.854
1/26/2017,-175.32
1/27/2017,-172.938
1/28/2017,-181.107
1/29/2017,-180.348
1/30/2017,-181.269
1/31/2017,-181.226
2/1/2017,-186.615
2/2/2017,-187.668
2/3/2017,-183.468
2/4/2017,-180.242
2/5/2017,-180.455
2/6/2017,-175.916
2/7/2017,-180.176
2/8/2017,-180.278
2/9/2017,-176.203
2/10/2017,-182.89
2/11/2017,-181.079
2/12/2017,-185.446
2/13/2017,-188.285
2/14/2017,-186.704
2/15/2017,-186.873
2/16/2017,-180.218
2/17/2017,-184.271
2/18/2017,-185.269
2/19/2017,-183.322
2/20/2017,-180.394
2/21/2017,-181.815
2/22/2017,-177.38
2/23/2017,-179.829
2/24/2017,-186.893
2/25/2017,-188.237
2/26/2017,-181.673
2/27/2017,-186.305
2/28/2017,-186.424
3/1/2017,-188.818
3/2/2017,-190.24
3/3/2017,-192.017
3/4/2017,-179.169
3/5/2017,-184.376
3/6/2017,-177.054
3/7/2017,-187.645
3/8/2017,-188.313
3/9/2017,-186.673
3/10/2017,-178.65
3/11/2017,-181.196
3/12/2017,-186.166
3/13/2017,-185.585
3/14/2017,-192.024
3/15/2017,-189.792
3/16/2017,-184.17
3/17/2017,-190.822
3/18/2017,-192.912
3/19/2017,-193.781
3/20/2017,-189.918
3/21/2017,-191.162
3/22/2017,-197.116
3/23/2017,-192.639
3/24/2017,-189.556
3/25/2017,-183.489
3/26/2017,-193.801
3/27/2017,-197.144
3/28/2017,-195.048
3/29/2017,-184.509
3/30/2017,-193.013
3/31/2017,-194.912
4/1/2017,-191.918
4/2/2017,-174.13
4/3/2017,-188.67
4/4/2017,-199.926
4/5/2017,-189.849
4/6/2017,-194.871
4/7/2017,-175.951
4/8/2017,-193.405
4/9/2017,-184.299
4/10/2017,-191.269
4/11/2017,-189.166
4/12/2017,-193.427
4/13/2017,-193.017
4/14/2017,-187.177
4/15/2017,-188.496
4/16/2017,-191.106
4/17/2017,-187.662
4/18/2017,-192.103
4/19/2017,-178.037
4/20/2017,-185.056
4/21/2017,-194.132
4/22/2017,-186.191
4/23/2017,-187.795
4/24/2017,-188.082
4/25/2017,-195.397
4/26/2017,-191.42
4/27/2017,-184.278
4/28/2017,-195.528
4/29/2017,-183.207
4/30/2017,-192.128
5/1/2017,-188.884
5/2/2017,-203.97
5/3/2017,-201.687
5/4/2017,-191.77
5/5/2017,-191.96
5/6/2017,-198.741
5/7/2017,-196.371
5/8/2017,-207.96
5/9/2017,-196.786
5/10/2017,-194.975
5/11/2017,-200.595
5/12/2017,-198.692
5/13/2017,-204.764
5/14/2017,-207.125
5/15/2017,-199.172
5/16/2017,-195.016
5/17/2017,-196.228
5/18/2017,-201.203
5/19/2017,-199.107
5/20/2017,-196.051
5/21/2017,-189.499
5/22/2017,-195.446
5/23/2017,-203.51
5/24/2017,-202.78
5/25/2017,-208.018
5/26/2017,-197.239
5/27/2017,-206.885
5/28/2017,-201.122
5/29/2017,-204.703
5/30/2017,-206.849
5/31/2017,-205.346
6/1/2017,-206.646
6/2/2017,-204.816
6/3/2017,-205.864
6/4/2017,-211.069
6/5/2017,-221.021
